id,name,party
0,Ковальов О.І.,СН
1,Ковальов О.І.,Довіра
2,Аліксійчук О.В.,СН
3,Аллахвердієва І.В.,СН
4,Ананченко М.О.,СН
5,Арахамія Д.Г.,СН
6,Арістов Ю.Ю.,СН
7,Арсенюк О.О.,СН
8,Бабак С.В.,СН
9,Бабій Р.В.,СН
10,Бакумов О.С.,СН
11,Бардіна М.О.,СН
12,Безгін В.Ю.,СН
13,Безугла М.В.,СН
14,Беленюк Ж.В.,СН
15,Березін М.Ю.,СН
16,Боблях А.Р.,СН
17,Богданець А.В.,СН
18,Богуцька Є.П.,СН
19,Божик В.І.,СН
20,Бондар Г.В.,СН
21,Бондаренко О.В.,СН
22,Борзова І.Н.,СН
23,Бородін В.В.,СН
24,Брагар Є.В.,СН
25,Бужанський М.А.,СН
26,Буймістер Л.А.,СН
27,Булах Л.В.,СН
28,Бунін С.В.,СН
29,Вагнєр В.О.,СН
30,Василевська-Смаглюк О.М.,СН
31,Василів І.В.,СН
32,Васильєв І.С.,СН
33,Васильковський І.І.,СН
34,Ватрас В.А.,СН
35,Веніславський Ф.В.,СН
36,Верещук І.А.,СН
37,Вінтоняк О.В.,СН
38,Володіна Д.А.,СН
39,Воронов В.А.,СН
40,Воронько О.Є.,СН
41,Гайду О.В.,СН
42,Галайчук В.С.,СН
43,Галушко М.Л.,СН
44,Гевко В.Л.,СН
45,Герасименко І.Л.,СН
46,Герман Д.В.,СН
47,Герус А.М.,СН
48,Гетманцев Д.О.,СН
49,Горбенко Р.О.,СН
50,Горенюк О.О.,СН
51,Горобець О.С.,СН
52,Гривко С.Д.,СН
53,Гринчук О.А.,СН
54,Гришина Ю.М.,СН
55,Грищенко Т.М.,СН
56,Грищук Р.П.,СН
57,Гузенко М.В.,СН
58,Гунько А.Г.,СН
59,Гурін Д.О.,СН
60,Дануца О.А.,СН
61,Демченко С.О.,СН
62,Дирдін М.Є.,СН
63,Діденко Ю.О.,СН
64,Дмитрієва О.О.,СН
65,Дмитрук А.Г.,СН
66,Драбовський А.Г.,СН
67,Дубінський О.А.,СН
68,Дубнов А.В.,СН
69,Дунда О.А.,СН
70,Жмеренецький О.С.,СН
71,Жупанин А.В.,СН
72,Заблоцький М.Б.,СН
73,Забуранна Л.В.,СН
74,Завітневич О.М.,СН
75,Загоруйко А.Л.,СН
76,Задорожний А.В.,СН
77,Задорожній М.М.,СН
78,Заремський М.В.,СН
79,Заславський Ю.І.,СН
80,Захарченко В.В.,СН
81,Здебський Ю.В.,СН
82,Зуб В.О.,СН
83,Зуєв М.С.,СН
84,Іванов В.І.,СН
85,Іонушас С.К.,СН
86,Кабанов О.Є.,СН
87,Калаур І.Р.,СН
88,Кальченко С.В.,СН
89,Камельчук Ю.О.,СН
90,Каптєлов Р.В.,СН
91,Касай Г.О.,СН
92,Касай К.І.,СН
93,Качура О.А.,СН
94,Кириченко М.О.,СН
95,Кисилевський Д.Д.,СН
96,Кицак Б.В.,СН
97,Кінзбурська В.О.,СН
98,Кісєль Ю.Г.,СН
99,Клочко А.А.,СН
100,Коваль О.В.,СН
101,Ковальов А.В.,СН
102,Ковальчук О.В.,СН
103,Козак В.В.,СН
104,Колебошин С.В.,СН
105,Колєв О.В.,СН
106,Колісник А.С.,СН
107,Колюх В.В.,СН
108,Копанчук О.Є.,СН
